book_id,name,author,publisher,price
BOOKS_COM_TW_0011019318,生意的起點：白種元的小店經營心法,白種元,Salamandra,48.8
BOOKS_COM_TW_0011030257,黃蜂守則3,吐維,F. A. Niccolls,38.6
BOOKS_COM_TW_0011030259,黃蜂守則4,吐維,Routledge,44.3
BOOKS_COM_TW_0011030260,黃蜂守則【3+4套書】,吐維,Broadway,33.3
BOOKS_COM_TW_0011032560,小小孩，大情緒：用SEL引導孩子學會情緒管理專書,根．莫爾,Oxford University Press,44.2
BOOKS_COM_TW_0011032956,兒子使用說明書【時報五十‧金句透卡組限量版】,黑川伊保子,Pomegranate (Cal),32.0
BOOKS_COM_TW_0011033249,老師也有在寫小說吧？,暁社夕帆,Published for the Crime Club by Collins,31.8
BOOKS_COM_TW_0011033252,魔女不受項圈束縛 (1),夢見夕利,Manesse-Verlag,31.5
BOOKS_COM_TW_0011033262,瞬間治癒卻被當成廢物踢出隊伍的天才治療師，改當無照治療師快樂過活 (8),菱川さかく,Alfaguara,39.4
BOOKS_COM_TW_0011033272,五等分的新娘【春夏秋冬】 2,あさのハジメ,Rowohlt,31.2
BOOKS_COM_TW_0011033274,關於我轉生變成史萊姆這檔事 (22),伏瀬,Pearson,44.4
BOOKS_COM_TW_0011033283,願她帶著笑容而逝,喜友名トト,Random House Export Editions,32.8
BOOKS_COM_TW_0011033432,魔王的前親信即使轉生成勇者依然會獻上忠誠 1(首刷限定版),ツカサ,Arnoldo Mondadori Editore,45.8
BOOKS_COM_TW_0011033446,日文自學ALL IN ONE全攻略【博客來獨家套書：初級+中級+高級】(3書+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,邀月文化事業股份有限公司,46.1
BOOKS_COM_TW_0011033454,從懷孕到產後，新手媽媽的第一本體適能健護全書,張莉莉,Leete's Island Books,33.6
BOOKS_COM_TW_0011033456,從懷孕到產後，新手媽媽的第一本體適能健護全書【限量卡娜赫拉萬用收納包贈品版】,張莉莉,Is Bankasi Kültür Yayinlari,38.1
BOOKS_COM_TW_0011033610,金錢教室，招生中：從管理零用錢到投資股票，在家開始孩子的第一堂經濟課,玉孝珍,Ueberreuter,31.9
BOOKS_COM_TW_0011033612,金錢教室，招生中：從管理零用錢到投資股票，在家開始孩子的第一堂經濟課【限量加贈親子共學理財手冊】,玉孝珍,Weltbild,35.0
BOOKS_COM_TW_0011033774,全魚精準刀工聖經：根據構造及骨骼拆解，專業殺魚，遊刄有餘！,蔣詩綺,Magpie Books,32.0
BOOKS_COM_TW_0011033864,無限可能的卵：從生命起源到人類誕生，與生命共同演化的卵,朱爾斯‧霍華,揚智文化事業股份有限公司,38.8
BOOKS_COM_TW_0011033866,改變世界的17個方程式,伊恩．史都華,Addison Wesley Publishing Company,41.5
BOOKS_COM_TW_0011033940,旅遊日語自由行【彩圖三版】（20K+寂天雲隨身聽APP）,葉平亭,University of Chicago Press,31.4
BOOKS_COM_TW_0011033960,臺灣的紋理：自然篇+人文篇 (博客來獨家套書),丁宗蘇 等,Edições 70,38.9
BOOKS_COM_TW_0011034046,全世界最簡單！細胞圖鑑,鈴川茂,香港文學館,49.1
BOOKS_COM_TW_0011034049,超危險生物求生圖鑑,小宮輝之,BookSurge Classics,41.3
BOOKS_COM_TW_0011034113,別讓世界只剩下動物園【修訂新版】：我在非洲野生動物保育現場,上田莉棋（Riki）,奇光出版,34.9
BOOKS_COM_TW_0011034130,患上不出道就會死的病 3,DS.Back,大好文化企業社,36.6
BOOKS_COM_TW_0011034131,患上不出道就會死的病4,DS.Back,Start Publishing LLC,34.5
BOOKS_COM_TW_0011034135,患上不出道就會死的病 3+4 特裝版,DS.Back,A.A. Knopf,45.3
