book_id,name,author,publisher,price
00000000,生意的起點,白種元,Manesse-Verlag,45
00000001,黃蜂守則3,吐維,Cambridge,37
00000002,黃蜂守則4,吐維,J. E. Potter and company,36
00000003,黃蜂守則,吐維,McGraw-Hill/Irwin,48
00000004,小小孩，大情緒,根．莫爾,"Recorded Books, Inc. and Blackstone Publishing",49
00000005,兒子使用說明書,黑川伊保子,Brooks/Cole,40
00000006,老師也有在寫小說吧？,暁社夕帆,"Little, Brown Book Group Limited",46
00000007,魔女不受項圈束縛,夢見夕利,Hodder & Stoughton Ltd,50
00000008,瞬間治癒卻被當成廢物踢出隊伍的天才治療師，改當無照治療師快樂過活,菱川さかく,Viking Press,40
00000009,五等分的新娘 2,あさのハジメ,大塊文化出版股份有限公司,43
00000010,關於我轉生變成史萊姆這檔事,伏瀬,Universidad del País Vasco,32
00000011,願她帶著笑容而逝,喜友名トト,Maxi-livres,37
00000012,魔王的前親信即使轉生成勇者依然會獻上忠誠 1,ツカサ,Librairie Des Champs,39
00000013,日文自學ALL IN ONE全攻略,金子祐己Yumi,Robert Laffont,35
00000014,從懷孕到產後，新手媽媽的第一本體適能健護全書,張莉莉,In Audio,41
00000015,金錢教室，招生中,玉孝珍,Livraria Letra Livre,43
00000016,全魚精準刀工聖經,蔣詩綺,KW Institute for Contemporary Art,39
00000017,無限可能的卵,朱爾斯‧霍華,Oxford University Press,46
00000018,改變世界的17個方程式,伊恩．史都華,Salamandra,32
00000019,旅遊日語自由行,葉平亭,Fundamento,39
00000020,臺灣的紋理,丁宗蘇,Mollusca Press,45
00000021,全世界最簡單！細胞圖鑑,鈴川茂,Pearson/Benjamin Cummings,45
00000022,超危險生物求生圖鑑,小宮輝之,相信夢想藝術經紀有限公司,43
00000023,別讓世界只剩下動物園,上田莉棋（Riki）,采藝彩色紙品事業有限公司,44
00000024,患上不出道就會死的病 3,DS.Back,Weston Woods Studios,49
00000025,患上不出道就會死的病4,DS.Back,千華駐科技出版有限公司,37
00000026,患上不出道就會死的病 3+4 特裝版,DS.Back,Bertelsmann Lesering,34
00000027,每天10分鐘，聽聽西語人怎麼說 新版,游皓雲,筆求人工作室,40
00000028,大家的泰國語 會話,ราณี ลิขิตวัฒนาสกุล 李汝玉,貓頭鷹出版社,40
00000029,每天10分鐘，聽聽義大利人怎麼說 新版,Giancarlo Zecchino（江書宏）,"Penguin Group USA, Inc.",41
00000030,恐怖到睡不著的化學,左卷健男,界限文化,31
00000031,情境式德檢必考單字2300,真道杉,Longman Higher Education,41
00000032,病弱少女，轉生獲得健康肉體,アトハ,H. Böhlau,37
00000033,餐桌上的南洋香料百科,劉明芳,Художественная литература,32
00000034,教學人生,楊田林,印刻文學生活雜誌出版股份有限公司,39
00000035,細胞自噬力,洪泰雄,סיאל לוגיסטיקה בע״מ,30
00000036,新鮮人限定套書︰除了自己，成為不了別人＋保持原來的樣子就很好了,稻垣榮洋,Addison-Wesley Pub. Co.,45
00000037,好想寫一本書,石井光太,W. W. Norton & Co.,34
00000038,FUN學美國各學科Preschool閱讀課本4,Michael A. Putlack,Dryden Press,40
00000039,普通輕音社 2,桑針,Nathan,46
00000040,BLUE LOCK藍色監獄-EPISODE 凪- 7,金城宗幸,"Multnomah Books,c",46
00000041,時事韓語閱讀力,崔寶鈺,Schoenhofs Foreign Books,47
00000042,常備季節漬,榎本美沙,Square Fish,41
00000043,IELTS 最強雅思全真模擬題庫大全12回,Lin Lougheed,Didàctica Multimedia,43
00000044,比睡覺更好的休息法,小林弘幸,Khudozhestvennai︠a︡ lit-ra,37
00000045,心臟夠有力，人生不斷線,上月正博,巴斯巴度文藝有限公司,39
00000046,被放逐的吊車尾少年，從邊境生還成為S級對魔師,御子柴奈々,Left Coast Press Inc.,47
00000047,SPY×FAMILY 間諜家家酒 漫畫小說版 3,ワダヒトミ,采實文化事業股份有限公司,38
00000048,家常麵攤學,柚子,愛呦文創有限公司,44
00000049,SOS！請問兒科急診醫師,坂本昌彦,Impr. de Henrich y ca,31
00000050,凶人惡煞01+02+03,年終,國家出版社,47
00000051,在家圓善終,小堀鷗一郎,"Little, Brown Young Readers",45
00000052,港式滋味,Chef Chu,巴斯巴度文藝有限公司,39
00000053,漢甫英,宮彥甲,捷克商麋鹿多媒體有限公司,48
00000054,小電商賺大錢,李子建,Alfed A. Knopf,48
00000055,休養學,片野秀樹,Hodder & Stoughton Audio Books,36
00000056,在地‧餐桌‧小旅行 遇上香港飲食文化,黃可衡,Sanage Publishing,36
00000057,我受歡迎只是誤會一場 1,浅岡旭,Sol90,38
00000058,地獄模式 ～喜歡挑戰特殊成就的玩家在廢設定的異世界成為無雙～,ハム男,Europa-América,38
00000059,風味炸彈,尤坦．奧圖蘭吉,Highbridge Audio,49
00000060,不用忍耐的瘦身法,野上浩一郎,Es Pop Ediciones,40
00000061,商務新詞典,商務印書館編輯部,Barnes and Noble,49
00000062,異口同聲 vs Be of One Voice,陳永楨,Círculo do Livro,35
00000063,學生英語拔尖寫作 Tip-top English Writing,Michael Chau (周林浩),HarperCollins Publishers,49
00000064,影片版絕對合格日檢！雙圖比較文法N5,吉松由美,Adelphi,50
00000065,背過就是你的日語單字庫,吉松由美,Murray,47
00000066,新版 QR Code朗讀 隨看隨聽 精裝本 精修關鍵字版 日本語文法‧句型辭典 N1，N2，N3，N4，N5文法辭典,吉松由美,Sanage Publishing,42
00000067,日本語單字、閱讀及文法N3秒殺爆款套書,吉松由美,Cátedra,43
00000068,無添加高湯粉,藍筱儀 Angel,Allyn and Bacon,30
00000069,考場帶回家！新版 新制日檢！絕對合格 N5單字、文法、閱讀、聽力全真模考三回＋詳解,吉松由美,Champs elysées,42
00000070,與妳相戀到生命盡頭 7,あおのなち,Minipress,38
00000071,張文朝日語教室 初級,張文朝,Carcanet,42
00000072,差點在迷宮深處被信任的夥伴殺掉，但靠著天賜技能獲得等級9999的夥伴，我要向前隊友和世界展開復仇& 7,明鏡シスイ,Norman Lewis,39
00000073,中西醫共治,吳敏綺,San Val,48
00000074,圖解病理學,劉明德,John P. Jewett and Company,31
00000075,學校沒教的日文,朱燕欣,New Outlook Publishers,50
00000076,雙城記,狄更斯,Editora Sextante,48
00000077,NEW TOEIC新多益必考單字,張小怡,"Harcourt Brace Jovanovich, Publishers",33
00000078,厲害的人都是這樣工作的,西原亮,Wienand,47
00000079,只要10小時，完全搞懂英語介系詞,稻田一,奇幻基地出版事業部,48
00000080,完全詳解 泌尿道診治照護全書,台灣泌尿科醫學會,World Scientific Publishing Co Pte Ltd,49
00000081,經方與證候，中醫診斷與治療綱要,董思圻,Edit. Casa de la Cultura Ecuatoriana,45
00000082,大人學職場三部曲,姚詩豪,Cengage,50
00000083,納帕酒莊,廖若庭 Miggi Demeyer,Harbin Publishing House,49
00000084,栽種、澆灌與成長 台灣膝關節之父 黃俊雄回憶錄,黃俊雄,The Four seas company,43
00000085,皮膚照護小叮嚀,詹智傑,Random Ho.,36
00000086,只因我們相愛,littlebbear96,GF Flammarion,38
00000087,科學的40堂公開課,威廉．拜能,Harper Collins,39
00000088,主題別 與伙伴一起踴躍發言的日語互動學習Ａ２＋～Ｂ１,亀田美保,台灣東販股份有限公司,49
00000089,可麗露烘焙實驗室,江至涵(Daisy),Mirlo Ediciones,49
00000090,主題別 與伙伴一起踴躍發言的日語互動學習Ａ２＋～Ｂ１教師手冊,亀田美保,Wilhelm Heyne Verlag,43
00000091,學好日語GO五十音習字帖,片岡夏芽,Pan Books,39
00000092,60歲開始越活越聰明！,和田秀樹,FleursDuMal.org,46
00000093,凡人探索者的愉快現代地下城生活,しば犬部隊,Non Basic Stock Line,38
00000094,愛吃糖是大腦騙了你！21天戒除糖癮計畫,山下明子,Glencoe/McGraw-Hill,42
00000095,癌症不是病,安德烈．莫瑞茲,James Munroe and Company,43
00000096,限時狩獵 上,唐酒卿,Green Lion Press,40
00000097,她們的酸甜苦辣鹹鮮澀,古碧玲,"Worth Publishers, Incorporated",45
00000098,哨聲響起 愛藏版 9,樋口大輔,Zhong xin chu ban she,41
00000099,BLEACH死神 愛藏版 12,久保帯人,Sinbad,48
00000100,野莓 1,米元入,樂律文化,46
00000101,讓大腦成為你的神隊友,瑞秋．巴爾,Island Books,48
00000102,黑白原來是真的,非逆,TBS/GBS/Transworld,44
